Week,WAP: (United States),Among Us: (United States),Kobe Bryant: (United States),Naya Rivera: (United States),Chadwick Boseman: (United States)
12/22/2019,<1,<1,<1,<1,<1
12/29/2019,<1,<1,<1,<1,<1
1/5/2020,<1,<1,<1,<1,<1
1/12/2020,<1,<1,<1,<1,<1
1/19/2020,<1,<1,<1,<1,<1
1/26/2020,<1,<1,100,<1,<1
2/2/2020,<1,<1,8,<1,<1
2/9/2020,<1,<1,4,<1,<1
2/16/2020,<1,<1,3,<1,<1
2/23/2020,<1,<1,7,<1,<1
3/1/2020,<1,<1,3,<1,<1
3/8/2020,<1,<1,1,<1,<1
3/15/2020,<1,<1,1,<1,<1
3/22/2020,<1,<1,1,<1,<1
3/29/2020,<1,<1,1,<1,<1
4/5/2020,<1,<1,1,<1,<1
4/12/2020,<1,<1,1,<1,<1
4/19/2020,<1,<1,1,<1,<1
4/26/2020,<1,<1,1,<1,<1
5/3/2020,<1,<1,1,<1,<1
5/10/2020,<1,<1,1,<1,<1
5/17/2020,<1,<1,1,<1,<1
5/24/2020,<1,<1,1,<1,<1
5/31/2020,<1,<1,1,<1,<1
6/7/2020,<1,<1,<1,<1,<1
6/14/2020,<1,<1,<1,<1,<1
6/21/2020,<1,<1,<1,<1,<1
6/28/2020,<1,<1,<1,<1,<1
7/5/2020,<1,<1,<1,8,<1
7/12/2020,<1,<1,<1,8,<1
7/19/2020,<1,<1,<1,<1,<1
7/26/2020,<1,<1,<1,<1,<1
8/2/2020,1,<1,<1,<1,<1
8/9/2020,3,<1,<1,<1,<1
8/16/2020,3,<1,<1,<1,<1
8/23/2020,2,<1,2,<1,12
8/30/2020,2,<1,1,<1,4
9/6/2020,2,1,1,<1,1
9/13/2020,1,3,1,<1,<1
9/20/2020,1,4,1,<1,<1
9/27/2020,1,4,1,<1,<1
10/4/2020,1,4,<1,<1,<1
10/11/2020,1,4,1,<1,<1
10/18/2020,1,4,<1,<1,<1
10/25/2020,1,3,<1,<1,<1
11/1/2020,<1,2,<1,<1,<1
11/8/2020,<1,2,<1,<1,<1
11/15/2020,<1,2,<1,<1,<1
11/22/2020,<1,2,<1,<1,<1
11/29/2020,<1,2,<1,<1,<1
12/6/2020,<1,2,<1,<1,<1
12/13/2020,<1,2,<1,<1,<1
